FSB 1	DME 016	FD IIIa	Fāra-Šuruppak	-	VAT 12684	SF 71; BFE 381 / http://www.cdli.ucla.edu/dl/photo/P010665	-	gegen eine Krankheit	Krebernik 1984, 94-95.
FSB 2	DME 030	FD IIIb	Tell Mardich – Ebla	TM.75.G 1501	INM -	ARET V 12 / ARET V Taf. L 12	6.7x6.0x2.4	gegen eine Krankheit	Krebernik 1984, 96-100
FSB 3A	DME 031A	FD IIIb	Tell Mardich — Ebla	TM.75.G 1519	INM -	ARET V 13 / ARET V Taf. L 13	7.6x7.1x2.5	gegen eine Krankheit	Krebernik 1984:102-104
FSB 3B	DME 031B	FD IIIb	Tell Mardich — Ebla	TM.75.G 1627	INM -	ARET V 14 / ARET V Taf. L 14	8.2x7.6x2.0	gegen eine Krankheit	Krebernik 1984:102-104
FSB 4	DME 001	FD IIIa	Fāra-Šuruppak	-	VAT 12524 I’ 1-IV’ 5	SF 46 I’ 1-IV’ 5; BFE 384-385 / http://www.cdli.ucla.edu/dl/photo/P010631	-	gegen eine Krankheit	Krebernik 1984, 76-80
FSB 5	DME 014	FD IIIa	Fāra-Šuruppak	-	VAT 12597 VIII 5 — IX 7	SF 54 VIII 5-IX 7; BFE: 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	gegen eine Krankheit	Krebernik 1984, 48-52.
FSB 6	DME 029	FD IIIb	Tell Mardich – Ebla	TM.75.G 2195	INM -	ARET V 11 / ARET V Taf. XLIX 11	6.5x6.5x1.5	gegen eine Krankheit	Krebernik 1984, 64-72
FSB 7	DME 021	FD IIIb	Tell Mardich – Ebla	TM.75.G 2459 IV 4-V 2	INM -	ARET V Taf. LIV-LV 19	13.8x12.8x3.0	gegen eine Krankheit	Krebernik 1984, 74-75
FSB 8	IAS 549	FD IIIa	TAS	AbS 2714 = 6H91:7	IM 132941	Iraq 52, Pl. XVd ; Iraq 71, 26 u. 31	8.9x8.9x2.9	gegen eine Krankheit	Krebernik / Postgate 2009:11
FSB 9	DME 020	FD IIIb	Tell Mardich — Ebla	TM.75.G 2459 III 3-IV 3	INM -	ARET V 19 III 3-IV 3 / ARET V Taf. LIV-LV 19	13.8x12.8x3.0	gegen eine Krankheit	Krebernik 1984, 150-152
FSB 10	DME 025	FD IIIb	Tell Mardich – Ebla	TM.75.G 2459 Rs. XIII 2-XIV 7	INM -	ARET V 19 XIII 2-XIV 7 / ARET V Taf. LIV-LV 19	13.8x12.8x3.0	gegen eine Krankheit	Krebernik 1984, 172-175
