id_text	acc	bit	cmt	desc	exc	feat	func	gods	lang	mre	mus	per	pid	pri	pro	pub	ritu	subs	tid	xid
P010631		i' 1'-iv' 5				Features divine dialogue	Therapeutic: releasing internal illness (šà-gig) caused by spell (na)	Ningirim, Enlil and his offspring	Sumerian	Krebernik 1984 no 11	VAT 12524	ED IIIa		SF 46	Fara				1	GC 1
P010631		iv' 6-v' 7					Function uncertain	None (but text is broken)	Sumerian	Krebernik 1984 no 12	VAT 12524	ED IIIa		SF 46	Fara				2	GC 2
P010631		v' 8-vi' 4					Function uncertain	Ningirim	Sumerian	Krebernik 1984 no 13	VAT 12524	ED IIIa		SF 46	Fara				3	GC 3
P010631		vi' 5-vii' 3					Function uncertain	Enlil	Sumerian	Krebernik 1984 no 14	VAT 12524	ED IIIa		SF 46	Fara				4	GC 4
P010631		vii' 4-7					Therapeutic: releasing deafness (lú-geštug-túg-nu-tukux(ḪÚB))	None (but text is broken)	Sumerian	Krebernik 1984 no 15	VAT 12524	ED IIIa		SF 46	Fara				5	GC 5
P010631		viii' 1'-3'					Function uncertain	Ningirim	Sumerian	Krebernik 1984 no 16	VAT 12524	ED IIIa		SF 46	Fara				6	GC 6
P010631		ix' 1'-3'					Possibly temple-foundation	NE.DAG	Sumerian	Krebernik 1984 no 17	VAT 12524	ED IIIa		SF 46	Fara				7	GC 7
P010644		i 1-9					Therapeutic or protective: scorpion's tail as remedy for impotence or as physical threat	None	Sumerian	Krebernik 1984 nos 1A, 1c, 1e	VAT 12597	ED IIIa		SF 54	Fara				1	GC 8a
P241191		i 1-ii 5			TM.75.G.01619		Therapeutic or protective: scorpion's tail as remedy for impotence or as physical threat	None	Sumerian	Krebernik 1984 nos 1A, 1c, 1e		Ebla		ARET 5, 8	Ebla	Pettinato, G., OrAnt. 18, 340-341, tav. XXXVII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla l, 21-23 [1984]			1	GC 8b
P241295		i 1-iii 1			TM.75.G.01722		Therapeutic or protective: scorpion's tail as remedy for impotence or as physical threat	None	Sumerian	Krebernik 1984 nos 1A, 1c, 1e		Ebla		ARET 5, 10	Ebla	Matthiae, P., Ebla: Un impero inciso nell’argilla (2nd ed.), tav. 64 (obv.) [1979]; Pettinato, G., OrAnt. 18, 342-343, tav. XXXVIII [1979]; Matthiae, P., Ebla: Un impero inciso nell’argilla,, tav. 47 (obv.) [1979]; Mander, P., Or. 48, 335 n. 2, 336-339 [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 1.24 [1984]; Matthiae, P., I tesori di Ebla, tav. 27c (obv.) [1984]			1	GC 8c
