designation	id_text	museum_no	Delnero_no	Delnero_subgenre_no	type	deity	Delnero_remarks
A 02788	X513802	NMSDeZ — ?					
A 02789	P513802	NMSDeZ — ?					
AfO 24, 015-017 & pl. III no. 6	P405569	WML 56.05.01	4860	Ershemma Enlil (412)	Ershemma	Enlil	
AO 6967	P345414	AO 6967				Inana-Dumuzi	
AOAT 203, 01-02, 14	P289914	NBC 11433	30	Balag Enlil (217)	Balag	Enlil	
AoF 47, 85-86	X907116						
AoF 48, 080	P527055			Ershemma Dumuzi	Ershemma	Dumuzi	
ASJ 03, 010-011	P355695	BM 029616	290	Balag ID (7)	Balag	Inana-Dumuzi	
ASJ 15, 010	P430946	YBC 06822	50	Balag ID (54)	Balag	Inana-Dumuzi	
ASJ 18, 031-032	P278426	N 3390	3210	Balag ID (48)	Balag	Inana-Dumuzi	
AuOr 01, 053	P355690	OIM A29965	3640	Balag ID (15)	Balag	Inana-Dumuzi	
AUWE 23, 103	P349106						
AUWE 23, 125	P349128		2220	Balag NG (179)	Balag	Ninisina-Gula	
AUWE 23, 126	P349129	IM —				Enlil, Inana	
AUWE 23, 127	P349130	VAT 21585	2230	Uncertain TT Enlil (486)	Uncertain	Enlil	
AUWE 23, 128	P349131	IM —					
AUWE 23, 129	P349132	VAT 21588					
AUWE 23, 130	P349133	VAT 21589					
AUWE 23, 131	P349134	IM —					
AUWE 23, 132	P349135	IM —					
AUWE 23, 133	P349136	IM —					
AUWE 23, 134	P349137	VAT 21647					
AUWE 23, 135	P349138		2210	Balag AD (192)	Balag	Aruru-Dingirmah	
AUWE 23, 136	P349139	VAT 21573					
AUWE 23, 137	P349140	VAT 21572					
AUWE 23, 138	P349141	VAT 21591					
BBVOT 3, 73	P345932	IM 073372					
BBVOT 3, 74	P345933	IM 073373					
BE 30/1, 006	P266487	CBS 11330	2830	Balag ID (93)	Balag	Inana-Dumuzi	
BE 30/1, 007	P265348	CBS 10084 + UM 29-13-690	2730	Balag ID (120)	Balag	Inana-Dumuzi	
BE 30/1, 008	P266485	CBS 11328	2820	Balag ID (42)	Balag	Inana-Dumuzi	
BE 30/1, 009	P266312	CBS 11151	2780	Balag ID (14)	Balag	Inana-Dumuzi	
BE 30/1, 011	P265349	CBS 10085	2740	Balag ID (121)	Balag	Inana-Dumuzi	
BE 30/1, 012	P257924	CBS 00475	2590	Ershemma ID (338)	Ershemma	Inana-Dumuzi	
BE 30/1, 013	P259101	CBS 00901 + CBS 01781	2600	Balag ID (118)	Balag	Inana-Dumuzi	
BE 31, 016	P345092	Ist Ni 02327	3510	Balag ID (144)	Balag	Inana-Dumuzi	
BE 31, 017	P345093	Ist Ni 02273	3490	Ershemma ID (339)	Ershemma	Inana-Dumuzi	
BiMes 29 = TFR 2, Terqa 8-24	P532390	NMSDeZ 03980				Inana	
BIN 02, 026	P297213	NBC 1313	10	Balag ID (25)	Balag	Inana-Dumuzi	
BL 195a	P333842	Ashm 1911-0236				Nin-šubur, Nergal	
BM 023104	P345736	BM 023104	200	Balag Nergal (282)	Balag	Nergal	Unpublished, see Kramer 1980b, 296
BM 023249	P355676	BM 023249			Catalog		
BM 023612	P355675	BM 023612			Catalog		
BM 023696	X130500	BM 023696	260	Ershemma ID (323)	Ershemma	Inana-Dumuzi	Unpublished, see Kramer 1980b, 297
BM 023701	P355679	BM 023701			Catalog		
BM 023771	P355678	BM 023771			Catalog		
BM 054315 + BM 054698 + BM 072969	P345741	BM 054315 + BM 054698 + BM 072969	360	Balag ID (26)	Balag	Inana-Dumuzi	
BM 054727	P345744	BM  054727				Utu	
BM 054823	P345748	BM 054823	390	Balag ID (8)	Balag	Inana-Dumuzi	
BM 056749	X907118	BM 056749					
BM 057654	P345752	BM 057654	430	Ershemma ID (354)	Ershemma	Inana-Dumuzi	
BM 078983	P345767	BM 078983	560	Balag ID (28)	Balag	Inana-Dumuzi	Unpublished, see Michalowski 1980, 267
BM 083719	X130507	BM 083719	620	Ershemma Enlil (415)	Ershemma	Enlil	
BM 085564	P355677	BM 085564			Catalog		
BM 096679	P355680	BM 096679					
BM 096680	P345778	BM 096680	790	Balag ID (3)	Balag	Inana-Dumuzi	
BM 100059	P345779	BM 100059	890	Balag ID (71)	Balag	Inana-Dumuzi	Unpublished, see Kramer 1980b, 299
BM 103163	P413235	BM 103163				Inana	
BM 120011	P355681	BM 120011	930	Balag ID (72)	Balag	Inana-Dumuzi	
BM 120015	X907117	BM 120015					
BM 120100	P345781	BM 120100				Inana-Dumuzi, Ninisina-Gula	
BM 132291	X907111	BM 132291					
BM 15280	P283738	BM 15280				Inana-Dumuzi	
CBS 00106	P257671	CBS 00106	2550	Balag ID (39)	Balag	Inana-Dumuzi	
CBS 00145 + CBS 00170	P257710	CBS 00145 + CBS 00170	2580	Ershemma ID (337)	Ershemma	Inana-Dumuzi	Unpublished, see Cohen 1981, 16 n. 114
CBS 01689 +	P259021	CBS 01689 + CBS 04337 + CBS 04358 (+) CBS 04359	2620	Balag Nergal (283)	Balag	Nergal	Unpublished, see Black 1987, 39
CBS 02337	P259344	CBS 02337	2660	Balag Enlil (254)	Balag	Enlil	
CBS 04828	P229109	CBS 04828					
CBS 06891+	P264320	CBS 06891 + CBS 06897 + N 3671 + N 3682 + unnumbered	2690	Balag ID (40)	Balag	Inana-Dumuzi	
CBS 08546	P263345	CBS 08546				Nanna	
CBS 08547 +	P263346	CBS 08547 + N 3465 + N 6898	2720	Balag ID (41)	Balag	Inana-Dumuzi	
CBS 08772	P263593	CBS 08772					
CBS 10333	P265559	CBS 10333	2750	Balag Uncertain Deity (305)	Balag	Uncertain	
CBS 10465	P265677	CBS 10465				Inana-Dumuzi	
CBS 11321 + CBS 11329 + N 3325 + N 3328	P266481	CBS 11321 + CBS 11329 + N 3325 + N 3328	2800	Balag ID (122)	Balag	Inana-Dumuzi	
CBS 11371 +	P266518	CBS 11371 + CBS 11419 + N 3361 + N 3392 + N 6471a + N 7668 + N 7716	2870	Balag ID (95)	Balag	Inana-Dumuzi	
CBS 11389 +	P266534	CBS 11389 + CBS 11393	2880	Balag ID (15)	Balag	Inana-Dumuzi	
CBS 11396	P227675	CBS 11396	2890	Balag ID (43)	Balag	Inana-Dumuzi	Unpublished, see Peterson 2011, 280
CBS 11419a	P266561	CBS 11419a					
CBS 12613	P267251	CBS 12613				Ninisina-Gula	
CBS 12674	P267302	CBS 12674	2910	Balag Enlil (257)	Balag	Enlil	
CBS 12675	P267303	CBS 12675	2920	Uncertain TT Enlil (487)	Uncertain	Enlil	
CBS 12703	P267327	CBS 12703	2930	Balag ID (124)	Balag	Inana-Dumuzi	
CBS 13393	P268473	CBS 13393	2940	Balag ID (173)	Balag	Inana-Dumuzi	
CBS 13397	P268477	CBS 13397				Inana-Dumuzi	
CBS 13978 (+) UM 29-13-468 +	P255417	CBS 13978 (+) UM 29-13-468 + N 1353 +  N 1760 + N 2596 + N 2642 + N 2654 + N 3074 + N 3167 + N 7293 + Ist. Ni 2310 + Ist Ni 2350 (+) N 1400 + N 1405 + N 6063	3420	Balag Utu (268)	Balag	Utu	
CBS 14002 +	P269032	CBS 14002 + CBS 14002A				Inana-Dumuzi	
CBS 15089	P269651	CBS 15089	2950	Collective Tablet (450, 465 and 488)	Collective	Ninurta	
CBS 15126	P269682	CBS 15126				Inana-Dumuzi	
CBS 15163	P269718	CBS 15163				Inana-Dumuzi	
CBS 2218 +	P259270	CBS 02218 + CBS 02334 + N 3335 + N 4226 + N 3369	2630	Balag Enlil (222)	Balag	Enlil	
CBS 4589	P260899	CBS 04589				Inana-Dumuzi	
CBS 6657b +	P229000	CBS 6657b + N 1839 + N 2565 + N 5300 + Fragm.				Inana-Dumuzi	
CBS 6898	P264326	CBS 6898				Inana-Dumuzi	
CBS 8037 +	P262964	CBS 8037 +  N 1703 + N 1832 + N 7508				Inana-Dumuzi	
CBS 8085	P263001	CBS 8085				Inana-Dumuzi	
CBS 8313	P263155	CBS 8313				Inana-Dumuzi	
CBS 8320	P263161	CBS 8320				Inana-Dumuzi	
CBS 8534 + N 1015	P263336	CBS 8534 + N 1015				Inana-Dumuzi	
CDLI P431311	P431311						
CLAM 804	P355665	BM 096927	830	Collective Tablet (409, 441–443)	Collective	Collective	
CLAM 822-4	P355671	YBC 16392	90	Balag Enlil (208)	Balag	Enlil	
CLAM YBC 07096	P308085	YBC 07096	60	Balag Šulpae (281)	Balag	Šulpae	
Clark Cylinder	P355701	MH 143860			Catalog		
CM 46, 37-49	P550399	CUNES 53-08-060		Uncertain TT ID	Uncertain	Inana-Dumuzi	
CST 503	P462708	CST 503				Inana-Dumuzi	
