Q000834				Sargon 01 (Sumerian)	rim:E2.1.1.1	Royal Inscription		ARMEP	7/29/2019 8:44:41 AM		updated from Tinney file 1/24/2006		Old Akkadian	Agade	RIME 2, p. 009, E2.1.1.1		Sargon			active			
Q000835				Sargon 16	rim:E2.1.1.16	Royal Inscription		Eleanor Robson	5/28/2015 4:05:02 PM		updated from Tinney file 1/24/2006		Old Akkadian	Agade	RIME 2, p. 035, E2.1.1.16		Sargon			active			
Q000836				Rimuš 07	rim:E2.1.2.7	Royal Inscription		Eleanor Robson	5/28/2015 4:05:02 PM		updated from Tinney file 1/24/2006		Old Akkadian	Agade	RIME 2, p. 055, E2.1.2.7		Rimuš			active			
Q000837				Rimuš 11	rim:E2.1.2.11	Royal Inscription		Eleanor Robson	5/28/2015 4:05:03 PM				Old Akkadian	Agade	RIME 2, p. 060, E2.1.2.11		Rimuš			active			
Q000838				Rimuš 13	rim:E2.1.2.13	Royal Inscription		Eleanor Robson	5/28/2015 4:05:03 PM				Old Akkadian	Agade	RIME 2, p. 062, E2.1.2.13		Rimuš			active			
Q000839				Rimuš 14	rim:E2.1.2.14	Royal Inscription		Eleanor Robson	5/28/2015 4:05:03 PM				Old Akkadian	Agade	RIME 2, p. 064, E2.1.2.14		Rimuš			active			
Q000840				Rimuš 15	rim:E2.1.2.15	Royal Inscription		Eleanor Robson	5/28/2015 4:05:03 PM				Old Akkadian	Agade	RIME 2, p. 065, E2.1.2.15		Rimuš			active			
Q000841				Rimuš 17	rim:E2.1.2.17	Royal Inscription		Eleanor Robson	5/28/2015 4:05:04 PM				Old Akkadian	Agade	RIME 2, p. 066, E2.1.2.17		Rimuš			active			
Q000842				Rimuš 18 (Sumerian)	rim:E2.1.2.18	Royal Inscription		ARMEP	7/29/2019 8:57:55 AM		updated from Tinney file 1/24/2006		Old Akkadian	Agade	RIME 2, p. 067, E2.1.2.18		Rimuš			active			
Q000843				Rimuš 20	rim:E2.1.2.20	Royal Inscription		Eleanor Robson	5/28/2015 4:05:04 PM				Old Akkadian	Agade	RIME 2, p. 070, E2.1.2.20		Rimuš			active			
Q000844				Maništušu 1	rim:E2.1.3.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:05 PM		updated from Tinney file 1/24/2006		Old Akkadian	Agade	RIME 2, p. 074, E2.1.3.1		Maništušu			active			
Q000845				Naram-Suen 04	rim:E2.1.4.4	Royal Inscription		ARMEP	7/29/2019 9:21:59 AM				Old Akkadian	Agade	RIME 2, p. 099, E2.1.4.4		Naram-Suen	4		active			
Q000846				Naram-Suen 05	rim:E2.1.4.5	Royal Inscription		ARMEP	7/29/2019 9:22 AM				Old Akkadian	Agade	RIME 2, p. 100, E2.1.4.5		Naram-Suen	5		active			
Q000847				Naram-Suen 06	rim:E2.1.4.6	Royal Inscription		ARMEP	7/29/2019 9:22:02 AM				Old Akkadian	Agade	RIME 2, p. 103, E2.1.4.6		Naram-Suen	6		active			
Q000848				Naram-Suen 08	rim:E2.1.4.8	Royal Inscription		ARMEP	7/29/2019 9:22:07 AM				Old Akkadian	Agade	RIME 2, p. 109, E2.1.4.8		Naram-Suen	8		active			
Q000849				Naram-Suen 09	rim:E2.1.4.9	Royal Inscription		ARMEP	7/29/2019 9:23:30 AM				Old Akkadian	Agade	RIME 2, p. 111, E2.1.4.9		Naram-Suen	9		active			
Q000850				Naram-Suen 15	rim:E2.1.4.15	Royal Inscription		ARMEP	7/29/2019 9:21:52 AM				Old Akkadian	Agade	RIME 2, p. 119, E2.1.4.15		Naram-Suen	15		active			
Q000851				Naram-Suen 16	rim:E2.1.4.16	Royal Inscription		ARMEP	7/29/2019 9:21:54 AM				Old Akkadian	Agade	RIME 2, p. 120, E2.1.4.16		Naram-Suen	16		active			
Q000852				Naram-Suen 17	rim:E2.1.4.17	Royal Inscription		ARMEP	7/29/2019 9:21:57 AM				Old Akkadian	Agade	RIME 2, p. 121, E2.1.4.17		Naram-Suen	17		active			
Q000853				Naram-Suen 22	rim:E2.1.4.22	Royal Inscription		Eleanor Robson	5/28/2015 4:05:07 PM				Old Akkadian	Agade	RIME 2, p. 125, E2.1.4.22		Naram-Suen			active			
Q000854				Naram-Suen 23	rim:E2.1.4.23	Royal Inscription		Eleanor Robson	5/28/2015 4:05:07 PM				Old Akkadian	Agade	RIME 2, p. 126, E2.1.4.23		Naram-Suen			active			
Q000855				Naram-Suen 25	rim:E2.1.4.25	Royal Inscription		Eleanor Robson	5/28/2015 4:05:07 PM				Old Akkadian	Agade	RIME 2, p. 129, E2.1.4.25		Naram-Suen			active			
Q000856				Naram-Suen 27	rim:E2.1.4.27	Royal Inscription		Eleanor Robson	5/28/2015 4:05:08 PM				Old Akkadian	Agade	RIME 2, p. 136, E2.1.4.27		Naram-Suen			active			
Q000857				Naram-Suen 30	rim:E2.1.4.30	Royal Inscription		Eleanor Robson	5/28/2015 4:05:08 PM				Old Akkadian	Agade	RIME 2, p. 140, E2.1.4.30		Naram-Suen			active			
Q000858				Naram-Suen 41	rim:E2.1.4.41	Royal Inscription		Eleanor Robson	5/28/2015 4:05:08 PM				Old Akkadian	Agade	RIME 2, p. 150, E2.1.4.41		Naram-Suen			active			
Q000859				Naram-Suen 2005	rim:E2.1.4.2005	Royal Inscription		Eleanor Robson	5/28/2015 4:05:08 PM				Old Akkadian	Agade	RIME 2, p. 166, E2.1.4.2005		Naram-Suen			active			
Q000860				Šar-kali-šarri 01	rim:E2.1.5.1	Royal Inscription		ARMEP	7/29/2019 10:47:54 AM				Old Akkadian	Agade	RIME 2, p. 186, E2.1.5.1		Šar-kali-šarri	1		active			
Q000861				Šar-kali-šarri 02	rim:E2.1.5.2	Royal Inscription		ARMEP	7/29/2019 10:48:17 AM				Old Akkadian	Agade	RIME 2, p. 188, E2.1.5.2		Šar-kali-šarri	2		active			
Q000862				Šar-kali-šarri 03	rim:E2.1.5.3	Royal Inscription		Eleanor Robson	5/28/2015 4:05:09 PM				Old Akkadian	Agade	RIME 2, p. 189, E2.1.5.3		Šar-kali-šarri			active			
Q000863				Šar-kali-šarri 08	rim:E2.1.5.8	Royal Inscription		Eleanor Robson	5/28/2015 4:05:10 PM				Old Akkadian	Agade	RIME 2, p. 196, E2.1.5.8		Šar-kali-šarri			active			
Q000864				Šar-kali-šarri 2004	rim:E2.1.5.2004	Royal Inscription		ARMEP	7/29/2019 10:52:01 AM				Old Akkadian	Agade	RIME 2, p. 200, E2.1.5.2004		Šar-kali-šarri	2004		active			
Q000865				Šar-kali-šarri 2005	rim:E2.1.5.2005	Royal Inscription		ARMEP	7/29/2019 10:52:04 AM				Old Akkadian	Agade	RIME 2, p. 201, E2.1.5.2005		Šar-kali-šarri	2005		active			
Q000866				Dudu 1	rim:E2.1.10.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:10 PM				Old Akkadian	Agade	RIME 2, p. 210, E2.1.10.1		Dudu			active			
Q000867				LI-lu-ul-DAN 1	rim:E2.1.12.1	Royal Inscription		Eleanor Robson	5/28/2015 4:05:11 PM				Old Akkadian	Agade	RIME 2, p. 218, E2.1.12.1		LI-lu-ul-DAN			active			
