id_text	OB Liturgy	type	deity	designation
X513802	OB Liturgy			A 02788
P513802	OB Liturgy			A 02789
P405569	OB Liturgy	Ershemma	Enlil	AfO 24, 015-017 & pl. III no. 6
P345414	OB Liturgy		Inana-Dumuzi	AO 6967
P289914	OB Liturgy	Balag	Enlil	AOAT 203, 01-02, 14
X907116	OB Liturgy			AoF 47, 85-86
P527055	OB Liturgy	Ershemma	Dumuzi	AoF 48, 080
P355695	OB Liturgy	Balag	Inana-Dumuzi	ASJ 03, 010-011
P430946	OB Liturgy	Balag	Inana-Dumuzi	ASJ 15, 010
P278426	OB Liturgy	Balag	Inana-Dumuzi	ASJ 18, 031-032
P355690	OB Liturgy	Balag	Inana-Dumuzi	AuOr 01, 053
P349106	OB Liturgy			AUWE 23, 103
P349128	OB Liturgy	Balag	Ninisina-Gula	AUWE 23, 125
P349129	OB Liturgy		Enlil, Inana	AUWE 23, 126
P349130	OB Liturgy	Uncertain	Enlil	AUWE 23, 127
P349131	OB Liturgy			AUWE 23, 128
P349132	OB Liturgy			AUWE 23, 129
P349133	OB Liturgy			AUWE 23, 130
P349134	OB Liturgy			AUWE 23, 131
P349135	OB Liturgy			AUWE 23, 132
P349136	OB Liturgy			AUWE 23, 133
P349137	OB Liturgy			AUWE 23, 134
P349138	OB Liturgy	Balag	Aruru-Dingirmah	AUWE 23, 135
P349139	OB Liturgy			AUWE 23, 136
P349140	OB Liturgy			AUWE 23, 137
P349141	OB Liturgy			AUWE 23, 138
P345932	OB Liturgy			BBVOT 3, 73
P345933	OB Liturgy			BBVOT 3, 74
P266487	OB Liturgy	Balag	Inana-Dumuzi	BE 30/1, 006
P265348	OB Liturgy	Balag	Inana-Dumuzi	BE 30/1, 007
P266485	OB Liturgy	Balag	Inana-Dumuzi	BE 30/1, 008
P266312	OB Liturgy	Balag	Inana-Dumuzi	BE 30/1, 009
P265349	OB Liturgy	Balag	Inana-Dumuzi	BE 30/1, 011
P257924	OB Liturgy	Ershemma	Inana-Dumuzi	BE 30/1, 012
P259101	OB Liturgy	Balag	Inana-Dumuzi	BE 30/1, 013
P345092	OB Liturgy	Balag	Inana-Dumuzi	BE 31, 016
P345093	OB Liturgy	Ershemma	Inana-Dumuzi	BE 31, 017
P532390	OB Liturgy		Inana	BiMes 29 = TFR 2, Terqa 8-24
P297213	OB Liturgy	Balag	Inana-Dumuzi	BIN 02, 026
P333842	OB Liturgy		Nin-šubur, Nergal	BL 195a
P345736	OB Liturgy	Balag	Nergal	BM 023104
P355676	OB Liturgy	Catalog		BM 023249
P355675	OB Liturgy	Catalog		BM 023612
X130500	OB Liturgy	Ershemma	Inana-Dumuzi	BM 023696
P355679	OB Liturgy	Catalog		BM 023701
P355678	OB Liturgy	Catalog		BM 023771
P345741	OB Liturgy	Balag	Inana-Dumuzi	BM 054315 + BM 054698 + BM 072969
P345744	OB Liturgy		Utu	BM 054727
P345748	OB Liturgy	Balag	Inana-Dumuzi	BM 054823
X907118	OB Liturgy			BM 056749
P345752	OB Liturgy	Ershemma	Inana-Dumuzi	BM 057654
P345767	OB Liturgy	Balag	Inana-Dumuzi	BM 078983
X130507	OB Liturgy	Ershemma	Enlil	BM 083719
P355677	OB Liturgy	Catalog		BM 085564
P355680	OB Liturgy			BM 096679
P345778	OB Liturgy	Balag	Inana-Dumuzi	BM 096680
P345779	OB Liturgy	Balag	Inana-Dumuzi	BM 100059
P413235	OB Liturgy		Inana	BM 103163
P355681	OB Liturgy	Balag	Inana-Dumuzi	BM 120011
X907117	OB Liturgy			BM 120015
P345781	OB Liturgy		Inana-Dumuzi, Ninisina-Gula	BM 120100
X907111	OB Liturgy			BM 132291
P283738	OB Liturgy		Inana-Dumuzi	BM 15280
P257671	OB Liturgy	Balag	Inana-Dumuzi	CBS 00106
P257710	OB Liturgy	Ershemma	Inana-Dumuzi	CBS 00145 + CBS 00170
P259021	OB Liturgy	Balag	Nergal	CBS 01689 +
P259344	OB Liturgy	Balag	Enlil	CBS 02337
P229109	OB Liturgy			CBS 04828
P264320	OB Liturgy	Balag	Inana-Dumuzi	CBS 06891+
P263345	OB Liturgy		Nanna	CBS 08546
P263346	OB Liturgy	Balag	Inana-Dumuzi	CBS 08547 +
P263593	OB Liturgy			CBS 08772
P265559	OB Liturgy	Balag	Uncertain	CBS 10333
P265677	OB Liturgy		Inana-Dumuzi	CBS 10465
P266481	OB Liturgy	Balag	Inana-Dumuzi	CBS 11321 + CBS 11329 + N 3325 + N 3328
P266518	OB Liturgy	Balag	Inana-Dumuzi	CBS 11371 +
P266534	OB Liturgy	Balag	Inana-Dumuzi	CBS 11389 +
P227675	OB Liturgy	Balag	Inana-Dumuzi	CBS 11396
P266561	OB Liturgy			CBS 11419a
P267251	OB Liturgy		Ninisina-Gula	CBS 12613
P267302	OB Liturgy	Balag	Enlil	CBS 12674
P267303	OB Liturgy	Uncertain	Enlil	CBS 12675
P267327	OB Liturgy	Balag	Inana-Dumuzi	CBS 12703
P268473	OB Liturgy	Balag	Inana-Dumuzi	CBS 13393
P268477	OB Liturgy		Inana-Dumuzi	CBS 13397
P255417	OB Liturgy	Balag	Utu	CBS 13978 (+) UM 29-13-468 +
P269032	OB Liturgy		Inana-Dumuzi	CBS 14002 +
P269651	OB Liturgy	Collective	Ninurta	CBS 15089
P269682	OB Liturgy		Inana-Dumuzi	CBS 15126
P269718	OB Liturgy		Inana-Dumuzi	CBS 15163
P259270	OB Liturgy	Balag	Enlil	CBS 2218 +
P260899	OB Liturgy		Inana-Dumuzi	CBS 4589
P229000	OB Liturgy		Inana-Dumuzi	CBS 6657b +
P264326	OB Liturgy		Inana-Dumuzi	CBS 6898
P262964	OB Liturgy		Inana-Dumuzi	CBS 8037 +
P263001	OB Liturgy		Inana-Dumuzi	CBS 8085
P263155	OB Liturgy		Inana-Dumuzi	CBS 8313
P263161	OB Liturgy		Inana-Dumuzi	CBS 8320
P263336	OB Liturgy		Inana-Dumuzi	CBS 8534 + N 1015
P431311	OB Liturgy			CDLI P431311
P355665	OB Liturgy	Collective	Collective	CLAM 804
P355671	OB Liturgy	Balag	Enlil	CLAM 822-4
P308085	OB Liturgy	Balag	Šulpae	CLAM YBC 07096
P355701	OB Liturgy	Catalog		Clark Cylinder
P550399	OB Liturgy	Uncertain	Inana-Dumuzi	CM 46, 37-49
