csl.0.1.01	Cat N₁	Q000319
csl.0.1.02	Cat Y₁	Q000320
csl.0.2.01	Cat N₂	Q000321
csl.0.2.02	Cat L	Q000322
csl.0.2.03	Cat U₁	Q000323
csl.0.2.04	Cat U₂	Q000324
csl.0.2.05	Cat U₃	Q000325
csl.0.2.06	Cat N₃	Q000326
csl.0.2.07	Cat B₁	Q000327
csl.0.2.08	Cat N₄	Q000328
csl.0.2.09	Cat B₂	Q002343
csl.0.2.10	Cat B₃	Q002344
csl.0.2.11	Cat B₄	Q000329
csl.0.2.12	Cat Y₂	Q000330
csl.0.2.13	Cat N₆	Q000331
csl.0.2.14	Cat B₅	Q002345
csl.0.2.15	Cat B₆	Q002346
csl.0.2.16	Cat B₇	Q002347
csl.0.2.17	Cat Uk₁	Q002287
csl.0.2.18	Cat S₁	Q002288
csl.0.3.01	Cat N₅	Q002348
csl.0.3.02	Cat A	Q002349
csl.0.3.03	Cat K₁	Q002350
csl.0.3.04	Cat K₂	Q002351
csl.0.3.05	Cat K₃	Q002352
csl.0.3.06	Cat NB₁	Q002353
csl.0.3.07	Cat NB₂	Q002354
csl.0.3.08	Cat X₁	Q002355
csl.0.4.01	Cal K	Q002356
csl.0.4.02	Cal Uk	Q002357
csl.0.4.03	Cal N	Q002358
csl.1.1.01	ENh	Q000332
csl.1.1.02	ENm	Q000333
csl.1.1.03	EW	Q000334
csl.1.2.01	EN 1	Q000336
csl.1.2.02	EN 2	Q000337
csl.1.3.01	IEn	Q000338
csl.1.3.02	IEb	Q000339
csl.1.3.03	IŠ	Q000340
csl.1.3.04	Gd	Q000341
csl.1.3.05	In I	Q000342
csl.1.4.01	ID	Q000343
csl.1.4.02	ID	Q000344
csl.1.4.03	DD	Q000347
csl.1.4.04	IB	Q000348
csl.1.5.01	NN	Q000349
csl.1.6.01	Ang	Q000350
csl.1.6.02	Lg	Q000351
csl.1.6.03	NT	Q000352
csl.1.6.04	NF	Q000353
csl.1.7.01	MM	Q000354
csl.1.7.02	NNa	Q000355
csl.1.7.03	ND	Q000356
csl.1.7.04	F	Q000357
csl.1.7.05	Cr	Q002289
csl.1.7.06	GS	Q000358
csl.1.7.07	Šu	Q000359
csl.1.7.08	Pb	Q000360
csl.1.7.99		Q002359
csl.1.8.1.01	GA	Q000361
csl.1.8.1.02	GB	Q000362
csl.1.8.1.03	GD	Q000363
csl.1.8.1.04	GE	Q000364
csl.1.8.1.04.a	Gilg. XII	
csl.1.8.1.05	GH	Q000365
csl.1.8.1.05.a		Q000366
csl.1.8.1.99		Q002293
csl.1.8.2.01	L 1	Q000367
csl.1.8.2.02	L 2	Q000368
csl.1.8.2.03	ELA	Q000369
csl.1.8.2.04		Q000370
csl.1.8.2.05		Q002294
csl.1.8.3.01	Adapa	Q002295
csl.2.1.01	KL	Q000371
csl.2.1.1.01	KLb	Q002361
csl.2.1.02	RL	Q000372
csl.2.1.03	Tu	Q000373
csl.2.1.04	SL	Q000374
csl.2.1.05	Ag	Q000375
csl.2.2.01	LU	Q000379
csl.2.2.02	LSU	Q000380
csl.2.2.03	LN	Q000381
csl.2.2.04	LW	Q000382
csl.2.2.05	LEr	Q000383
csl.2.2.99		Q002362
csl.2.3.01	Lum A	Q000384
csl.2.3.02	Gud A	Q000385
csl.2.4.1.01	UN A	Q000386
