id_text	siglum	vandijk	designation	pub	musno	excno	prov	per	lines
P282599	As₁	h	VAT 09306=Ass 03196	KAR 13	VAT 09306	Ass 03196	Assur	Middle Assyrian	i 39-45; ii 92-93; i -; r ii 140-141
P413913	As₂	n	13955 gd	LKA 9	A — ?	13955 gd	Assur	Neo-Assyrian	ii 74-86
P282600	As₃	d₁	VAT 09710=Ass 04538	KAR 14	VAT 09710	Ass 04538	Assur	Middle Assyrian	i 375-397; ii 418-443; r iii 486-512; r iv 546-556
P453277	As₄	(o₁)	VAT 10628	KAR 363	VAT 10628		Assur	Neo-Assyrian	540-544; r 545-550
P282603	As₅		VAT 10565		VAT 10565		Assur	Middle Assyrian	
P282604	As₆		VAT 08884		VAT 08884		Assur	Middle Assyrian	
P369318	As₇				VAT —		Assur	Neo-Assyrian	
P414333	Ba₁	b₁	VAT 00172 + VAT 00232 + VAT 00435 + VAT 01747 + VAT 01863	SBH 71 f.	VAT 00172 + VAT 00232 + VAT 00435 + VAT 01747 + VAT 01863		Bābili	Hellenistic	345-357; r 358-371
P338470	Hu₁	e	SU 1952, 203	STT 2, 150	AMM —	SU 1952, 203	Huzirina	Neo-Assyrian	10-24; r 30-42
P345782	Ki₁	Z	Ashm 1924-0560	OECT 5, 1	Ashm 1924-0560		Kish	Old Babylonian	159-173; r 228-237 + col.
P404409	Ni₁	d₂	K 19608	van Dijk pl. LXXVII	BM —		Nineveh	Neo-Assyrian	1-2
P237352	Ni₂	c	1883-01-18, 0488	ZA 54 (1961) 73s. fig. 2-3	BM —		Nineveh	Neo-Assyrian	9-11; r 44-45
P373820	Ni₃	f	K 07604	RA 17 (1920) 151;  ZA 34 (1922) 29	BM —		Nineveh	Neo-Assyrian	9-12, 16-19
P370905	Ni₄	d	K 00133	ASKT 79ss.	BM —		Nineveh	Neo-Assyrian	10-24; r 25-40
P237384	Ni₅	g	1883-01-18, 0693	ZA 54 (1961) 72s. fig. 1-2	BM —		Nineveh	Neo-Assyrian	18-28; r 29-39
P357132	Ni₆	i	K 13521	K 13521*	BM —		Nineveh	Neo-Assyrian	49-54; r 88-89
P461682	Ni₇	C₅	BCM 0280-062	IRAQ 41 (1979) 133, 40	BCM 0280-062		Nineveh	Old Babylonian	51-53
P357110	Ni₈	k	K 05124	K 5124	BM —		Nineveh	Neo-Assyrian	59-71; r 72-83
P357108	Ni₉	(l+o)	K 05036 + K 06657	K 6657*(+o)	BM —		Nineveh	Neo-Assyrian	f?= 70-77
P452719	Ni₁₀	m	1883-01-18, 0516	ZA 54 (1961) 88	BM —		Nineveh	Neo-Assyrian	70-79; -
P357102	Ni₁₁	p	K 04827	MVAG 8/5 (1903) pl. XI	BM —		Nineveh	Neo-Assyrian	-; r 87-89
P357087	Ni₁₂	t	K 02863	K 2863	BM —		Nineveh	Neo-Assyrian	136-145; r 179-181
P414088	Ni₁₃	w	1880-07-19, 0127	80-7-19, 127	BM —		Nineveh	Neo-Assyrian	182-189; r 234-236
P357099	Ni₁₄	a₁	K 04814	MVAG 8/5 (1903) pl. XII	BM —		Nineveh	Neo-Assyrian	293-296; r 326- 332
P357140	Ni₁₅	c₁	K 15178	ZA 54 (1961) 88, fig. 8	BM —		Nineveh	Neo-Assyrian	347-351
P403233	Ni₁₆	a₂	K 17950	van Dijk pl. LXXIV	BM —		Nineveh	Neo-Assyrian	382-386
P357089	Ni₁₇	f₁	K 02871 + 1881-02-04, 0396	MVAG 8/5 (1903) = BA 5, 676 ss.	BM —		Nineveh	Neo-Assyrian	385-399; r 400-414
P357126	Ni₁₈	g₁	K 10374	van Dijk pl. LIX	BM —		Nineveh	Neo-Assyrian	401-406
P424848	Ni₁₉	h₁	Rm 0585	van Dijk pl. LIX	BM —		Nineveh	Neo-Assyrian	432-438; r 449-453
P357086	Ni₂₀	j₁	K 02862 + K 02868 + K 05065a + Rm 0111	4 R2 13, n° 1 (+add. p. 2)	BM —		Nineveh	Neo-Assyrian	463-489; r 490-512
P452395	Ni₂₁	w₁	1881-07-27, 0120	v. Dijk; (cf. 4 R2 add. p. 2)	BM —		Nineveh	Neo-Assyrian	485-490; r 491-496
P401981	Ni₂₂	q₂	K 16378 (+) K 20538	van Dijk pl. LXXXVI	BM —		Nineveh	Neo-Assyrian	526-529
P357079	Ni₂₃	p₁	K 01299	AOTU 1, 361	BM —		Nineveh	Neo-Assyrian	550-556; -
P357106	Ni₂₄	q₁	K 05033	van Dijk pl. LXX	BM —		Nineveh	Neo-Assyrian	557-565
