P010285	OIP 099, 351	uncertain (mod. Abu Salabikh)	IM —	AbS-T 0026						ED IIIa
P223705	CDLI Literary 000351, ex. 160	Sippar-Yahrurum (mod. Tell Abu Habbah)	IM 124648	Sippar 180/2343 27/3a₂	Sippar Library 8.B.4					Neo-Babylonian
P223706	CDLI Literary 000351, ex. 161	Sippar-Yahrurum (mod. Tell Abu Habbah)	IM 124486	20/2183 20/3A₂						Neo-Babylonian
P223707	CDLI Literary 000351, ex. 162	Sippar-Yahrurum (mod. Tell Abu Habbah)	IM 124647	Sippar 179/2342 19/3A₂						Neo-Babylonian
P223708	CDLI Literary 000351, ex. 163	Sippar-Yahrurum (mod. Tell Abu Habbah)	IM 124644	Sippar 176B 18a/3A₂						Neo-Babylonian
P230705	CDLI Literary 000351, ex. 090	Nippur (mod. Nuffar)	unknown	3N-T0295 + 3N-T0900,018						Old Babylonian
P237352	CDLI Literary 000351, ex. 043	Nineveh (mod. Kuyunjik)	BM —		1883-01-18, 0488					Neo-Assyrian
P237384	CDLI Literary 000351, ex. 042	Nineveh (mod. Kuyunjik)	BM —		1883-01-18, 0693					Neo-Assyrian
P254178	CDLI Literary 000351, ex. 159	uncertain (mod. uncertain)	MS 5110							Old Babylonian
P255517	CDLI Literary 000351, ex. 092	Nippur (mod. Nuffar)	UM 29-13-583							Old Babylonian
P255622	CDLI Literary 000351, ex. 093	Nippur (mod. Nuffar)	N 1852 + N 3208 + UM 29-13-699							Old Babylonian
P256797	CDLI Literary 000351, ex. 083	Nippur (mod. Nuffar)	N 2666 + UM 29-16-223							Old Babylonian
P256809	CDLI Literary 000351, ex. 078	Nippur (mod. Nuffar)	UM 29-16-242 + UM 29-16-439							Old Babylonian
P256927	CDLI Literary 000351, ex. 117	Nippur (mod. Nuffar)	UM 29-16-429							Old Babylonian
P256941	CDLI Literary 000351, ex. 105	Nippur (mod. Nuffar)	UM 29-16-444 + UM 29-16-453							Old Babylonian
P258539	CDLI Literary 000351, ex. 009	Nippur (mod. Nuffar)	CBS 01205 + CBS 01837 + CBS 01839 + CBS 02161 + CBS 02166? + CBS 02347 + N 0839 + N 3033 + N 3037 + HS 1603							Old Babylonian
P259251	CDLI Literary 000351, ex. 013 & 000396, ex. 072	Nippur (mod. Nuffar)	CBS 02196 + CBS 02205 + CBS 02293							Old Babylonian
P259285	CDLI Literary 000351, ex. 011	Nippur (mod. Nuffar)	CBS 02237							Old Babylonian
P262174	CDLI Literary 000351, ex. 034	Nippur (mod. Nuffar)	CBS 07138							Old Babylonian
P262188	CDLI Literary 000351, ex. 029	Nippur (mod. Nuffar)	CBS 07154 + UM 29-13-249							Old Babylonian
P262932	CDLI Literary 000351, ex. 028	Nippur (mod. Nuffar)	CBS 07994 + UM 29-16-445							Old Babylonian
P262987	CDLI Literary 000351, ex. 027	Nippur (mod. Nuffar)	CBS 08070							Old Babylonian
P263109	CDLI Literary 000351, ex. 077	Nippur (mod. Nuffar)	CBS 08243							Old Babylonian
P263283	CDLI Literary 000351, ex. 031	Nippur (mod. Nuffar)	CBS 08476							Old Babylonian
P263561	CDLI Literary 000351, ex. 095	Nippur (mod. Nuffar)	CBS 08736							Old Babylonian
P264331	CDLI Literary 000351, ex. 030	Nippur (mod. Nuffar)	CBS 06903 + CBS 07842 (+) N 1327							Old Babylonian
P264622	CDLI Literary 000351, ex. 007	Nippur (mod. Nuffar)	CBS 09232							Old Babylonian
P265221	CDLI Literary 000351, ex. 008	Nippur (mod. Nuffar)	CBS 09935							Old Babylonian
P265528	CDLI Literary 000351, ex. 108	Nippur (mod. Nuffar)	CBS 10295							Middle Babylonian
P266186	CDLI Literary 000351, ex. 033	Nippur (mod. Nuffar)	CBS 11006							Old Babylonian
P266252	CDLI Literary 000351, ex. 010	Nippur (mod. Nuffar)	CBS 11087							Old Babylonian
P268188	CDLI Literary 000351, ex. 012	Nippur (mod. Nuffar)	CBS 13103							Old Babylonian
P268200	CDLI Literary 000351, ex. 110	Nippur (mod. Nuffar)	CBS 13114 + N 3351							Old Babylonian
P268891	CDLI Literary 000351, ex. 032	Nippur (mod. Nuffar)	CBS 13876							Old Babylonian
P269182	CDLI Literary 000351, ex. 023	Nippur (mod. Nuffar)	CBS 14212							Old Babylonian
