A	I-IV
A₂	XVIII
A₃	LXXXVI*
A₄	XXXVII
A₅	XLVI
B₂	XIX
B₄	XXXVIII
B₅	XLVI-XLVII
C₁	LXXXII*
C₂	LXXXV*
C₄	XXXVIII
D₁	LXXXII*
D₂	XIX
D₄	XXXVIII
D₅	XLVII
E	V
E₁	XII
E₂	XIII
E₄	XXXVIII
E₅	LXXXVII
F₁	XIV-XV
F₃	XXXII
G	V-VI
G₃	XXXII
G₄	LXXXVI*
H₁	LXXXIII*
H₃	XXXII
H₄	XXXIX
I	VII-VIII
I₁	LXXXIII*
I₃	XXXIII
I₄	XL
J	VIII
J₂	XX-XXI
J₃	XXXIII
J₄	XLI
K₁	LXXXIII*
K₂	XXI
K₃	XXXIV
K₄	XLI
L	IX
L₂	XXII
L₃	XXXIV
L₄	XLII
M	X
M₃	XXXIV
M₄	XLII
N₂	LXXXV*
N₃	XXXV
N₄	XLII
O₁	LXXXIII*-LXXXIV*
O₃	XXXV
O₄	XLIII
P	LXXXII*
P₂	XXIII
P₃	XXXV
P₄	XLIII
Q₁	XVI-XVII
Q₂	XXIV
Q₄	XLIII
R₂	XXIV
R₄	XLIV
S₂	XXV
S₄	XLIV
T	X
T₁	LXXXIV*
T₂	XXVI
T₃	XXXVI
T₄	XLIV
U	LXXXII*
U₂	XXVII-XXIX
V	LXXXII*
W	XI
W₁	LXXXIV*
W₂	XXVIII
W₄	XXXI
X₂	XXIX-XXX
X₄	XLV
Y	XI
Y₁	XVII
Y₂	LXXXV*
Y₃	XXXVII
Y₄	XLV
Z₁	XVIII
Z₂	XXXI
Z₄	XLV
a	XLVIII-XLIX
a₂	LXXIV
b₂	LXXV-LXXVI
c₂	LXXVII
d₂	LXXVII
e₂	LXXVII
f	LII
f₂	LXXVIII
g₁	LIX
g₂	LXXVIII-LXXIX
h₁	LIX
i	L
i₁	LX
i₂	LXXIX-LXXX
j	L-LI
j₁	LXI-LXII
j₂	LXXX
k₂	LXXII
l+o	LII
l₁	LXIII
l₂	LXXX
m₂	LXXXI
n₁	LXIV-LXIX
n₂	LXXXI
q₁	LXX
q₂	LXXXVI
r₁	LXX
t₁	LXXI
u	LIII-LIV
u₁	LXXIII
u₁+k₂	LXXII-LXXIII
v	LV
v₁	LXXIV
w₂	LXXIV
x	LVI-LVII
z	LVIII
z₁	LXXIV
