A	van Dijk pl. I-IV	i 1-39; ii 46-85; r iii 91-130
B	SLTN 7	i 1-12; ii 44-55; iii -; iv -; v -; vi -; r vii traces (± 310-320)
C	SLTN 6	1-4, 7-8
D	ISET 1, 110 (168)	i 3-14
E	van Dijk pl. V	7-19
F	ISET 2, 24 .	i 8-20; ii 67-73; r iii 158-165
G	van Dijk pl. V-VI	i 10-19; ii 44-58; r iii 110-123
H	ISET 2, 23	i 27-33; ii 55-58; iv -; v -; vi -; vii -; viii -; ix -; x -; r xi 316-318(?)
I	van Dijk pl. VII-VIII	i 30-45; ii 84-92; r iii 93-107
J	van Dijk pl. VIII	584-587
K	TMHNF 4, 78	i 41-49; ii 98-110
L	van Dijk pl. IX	52-70
M	van Dijk pl. X	71-76
N	SLTN 9	76-83
O	STVC 114	367-373
P	ISET 2, 19;   FTS 201, fig. 64	i -; ii 46-63; iii 83-96; iv -; v -; r vi 253-273; r vii 302-315
Q	ISET 1, 124 (182)	
R	ISET 1, 128 (186)	95-97
S	ISET 2, 107; FTS 201, fig. 65	i -; ii -; r i 97-127
T	van Dijk pl. X	ii 117-123; iii 175-181; r x 552-559; r xi 608-616
U	SEM 44	121-141
V	SEM 45	124-142
W	van Dijk pl. XI	128-133
X	ISET 1, 71 (129)	148-153
Y	van Dijk pl. XI	148-156
Z	OECT 5, 1	159-173
A₁	SUMER 18 (1962) pl. 1	162-177
B₁	ISET 1, 127 (185)	
C₁	BE 29	221-230
D₁	BE 31, 32	251-264
E₁	van Dijk pl. XII	253-282
F₁	BE 29; van Dijk pl. XIV-XV	i K+H₃+S₄; ii K+T; iii T; iv G₁; v 273-286, G₁; vi 338-355; r vii 395-412, G₁; r viii 459-473, G₁; r ix 524-534, G₁; r x 574-581, T+P₂; r xi T+P₂; r xii S4+P₂
G₁	BE 29/1, 6	iv 237-245; v 290-304; r vii 388-391; r viii 432-450; r ix 503-510
H₁	BE 29	334-358
I₁	BE 29	334-354
J₁	ISET 2, 23	335-345
K₁	SEM 35	349-355
L₁	SRT 18	349-363
M₁	UET 6, 3	
N₁	SRT 20	372-387
O₁	SEM 32	i 375-406; ii 416-450; r iii 469-500
P₁	ISET 2, 25	i 383-389
Q₁	van Dijk pl. XVI-XVII	393-409
R₁	ISET 1, 80 (138)	
S₁	UET 6, 4	404-419
T₁	ISET 2, 12	308-316
U₁	ISET I, 73 (131)	412-416
V₁	ISET 2, 23	416-421
W₁	SEM 36	418-424
X₁	Ni 2743(+V₁)	420-433
Y₁	UM 29-13-249*+	-; r 425-432
Z₁	3 NT 477*+	
A₂	N 4126* + (+B₁)	432-436
