P572460	BM 043974 + BM 046971	British Museum, London, UK			tablet	primary	text no. 2	
P572477	BM 046804	British Museum, London, UK			tablet	primary	text m2	
P343646	CDLI Literary 000350, ex. 014 &amp; 000351, ex. 164	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2, 018 G4	
P278351	CDLI Literary 000350, ex. 052 &amp; 000351, ex. 166	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1973) 017 X2	
P346516	CDLI Literary 000350, ex. 054 &amp; 000351, ex. 167	British Museum, London, UK	Old Babylonian (ca. 1900-1600 BC)	Ur (mod. Tell Muqayyar)	tablet	history	2, 017 D3 (cited as 70)	
P357087	CDLI Literary 000351, ex. 001	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 020 t	
P414333	CDLI Literary 000351, ex. 002	Vorderasiatisches Museum, Berlin, Germany	Hellenistic (323-63 BC)	Babylon (mod. B=C4=81bil)	tablet	history	2 (1983) 021 b1	
P357102	CDLI Literary 000351, ex. 003	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 020 p	
P357099	CDLI Literary 000351, ex. 004	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 021 a1	
P357089	CDLI Literary 000351, ex. 005	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 021 f1	
P357110	CDLI Literary 000351, ex. 006	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 020 k	
P264622	CDLI Literary 000351, ex. 007	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 H1	
P265221	CDLI Literary 000351, ex. 008	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 I1 (citations p. lxxxiv)	
P258539	CDLI Literary 000351, ex. 009	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 H3	
P266252	CDLI Literary 000351, ex. 010	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 016 C2 (citations pl. lxxxvi)	
P259285	CDLI Literary 000351, ex. 011	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 Y2 (citations p. lxxxvi)	
P268188	CDLI Literary 000351, ex. 012	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 C1 (citations pl.lxxxiii)	
P259251	CDLI Literary 000351, ex. 013 &amp; 000396, ex. 072	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017, Z2 + W4	
P414088	CDLI Literary 000351, ex. 014	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 020 w	
P357108	CDLI Literary 000351, ex. 015	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 020 ( l + o)	
P345084	CDLI Literary 000351, ex. 016	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 016 N2	
P345085	CDLI Literary 000351, ex. 017	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 Z3	
P345105	CDLI Literary 000351, ex. 018	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 D1	
P461892	CDLI Literary 000351, ex. 019	Louvre Museum, Paris, France	Neo-Babylonian (ca. 626-539 BC)		tablet	history	2 (1983) 020 y	
P282599	CDLI Literary 000351, ex. 020	Vorderasiatisches Museum, Berlin, Germany	Middle Assyrian (ca. 1400-1000 BC)	Assur (mod. Qalat Sherqat)	tablet	history	2 (1983) 019 h	
P282600	CDLI Literary 000351, ex. 021	Vorderasiatisches Museum, Berlin, Germany	Middle Assyrian (ca. 1400-1000 BC)	Assur (mod. Qalat Sherqat)	tablet	history	2 (1983) 021 d1	
P373820	CDLI Literary 000351, ex. 022	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 019 f	
P269182	CDLI Literary 000351, ex. 023	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 A4	
P345310	CDLI Literary 000351, ex. 024	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 L1	
P345312	CDLI Literary 000351, ex. 025	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 N1	
P345426	CDLI Literary 000351, ex. 026	Louvre Museum, Paris, France	Old Babylonian (ca. 1900-1600 BC)	uncertain (mod. uncertain)	tablet	history	2 (1983) 019 b	
P262987	CDLI Literary 000351, ex. 027	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 O1 (citations p. lxxxiv)	
P262932	CDLI Literary 000351, ex. 028	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 K1 (citations p.lxxxiv)	
P262188	CDLI Literary 000351, ex. 029	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 W1 (citations p. lxxxv)	
P264331	CDLI Literary 000351, ex. 030	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 016 K2 (+) L2	
P263283	CDLI Literary 000351, ex. 031	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 T3	
P268891	CDLI Literary 000351, ex. 032	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 U	
P266186	CDLI Literary 000351, ex. 033	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 V (citations pl. lxxxiii)	
P262174	CDLI Literary 000351, ex. 034	Penn Museum, Philadelphia, Pennsylvania, USA	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 (O)	
P345137	CDLI Literary 000351, ex. 035	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 C	
P345138	CDLI Literary 000351, ex. 036	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 B	
