P572460	text no. 2
P572477	m2
P343646	G4
P278351	X2
P346516	D3 (cited as 70)
P357087	t
P414333	b1
P357102	p
P357099	a1
P357089	f1
P357110	k
P264622	H1
P265221	I1
P258539	H3
P266252	C2
P259285	Y2
P268188	C1
P259251	Z2 + W4
P414088	w
P357108	(l + o)
P345084	N2
P345085	Z3
P345105	D1
P461892	y
P282599	h
P282600	d1
P373820	f
P269182	A4
P345310	L1
P345312	N1
P345426	b
P262987	O1
P262932	K1
P262188	W1
P264331	K2 (+) L2
P263283	T3
P268891	U
P266186	V
P262174	(O)
P345137	C
P345138	B
P345139	X1
P345140	N
P345264	U3
P413913	n
P461685	X3
P237384	g
P237352	c
P357140	c1
P346088	015, M1
P346089	S1
P346090	F2
P346091	H2
P338470	e
P343177	X
P343185	U1
P343215	R1
P343227	Q3
P343355	D
P343359	R3
P343378	S3
P343418	Q
P343424	B1
P343431	R
P343536	V3
P343590	U4
P343621	T1
P343633	P
P343642	H
P343643	V1
P343644	J1
P459571	I2
P343645	F
P459575	F4
P343647	P1+E2+G2
P459573	A3
P343772	S
P345782	Z
P461682	C5
P357319	A
P263109	E
P256809	G
P356663	I
P356987	J (ISET 3, 082, Ni 09454)
P461683	A1
P356647	E1
P256797	L
P269650	M
P279008	W+R4
P278276	Y
P279001	A2 + B2
P356828	Q1
P356718	Z1
P230705	J2
P278689	M2 + Q2
P255517	R2
P255622	S2
P269648	T2
P263561	F3
P356460	G3
P429735	I3
P356563	J3
P356260	K3
P356198	L3
P356485	M3
P429734	N3
P356194	O3
P356137	P3
P256941	U2
P459572	W2
P278322	B4
P265528	C4
P278416	D4
P268200	I4
P276672	K4
P276913	L4
P356497	M4
P356407	N4
P356155	O4
P356489	P4
P256927	Q4
P278179	T4
P357188	Y3 + E5
P370905	d
P276569	D5
P459576	X4
P356985	Y4 (ISET 3, 081, Ni 09963)
P356983	Z4 (ISET 3, 080, Ni 09840)
P357132	i
P357174	j
P452719	m
P357208	v
P357176	x
P357179	z
P357126	g1
P424848	h1
P357207	i1
P357086	j1
P357206	n1 (BM 122625)
P403233	a2
P357106	q1
P357133	v1
P357079	p1
P452395	w1
P461208	(o2)
P357181	c2
P404409	d2
P404559	e2
P461893	g2
P357205	h2
P461247	pl. 75-76, BM 051213 +
P401981	q2
P349103	B5
P346514	B3 (cited as 260)
P346515	C3 (cited as 94)
P346517	E3 (cited as 237)
P453277	(o1)
P453278	m1
P357180	u
