aʾa[unmng]V/i	a-a	rr	a·a
aŋ[measure]V/t	ag₂-ag₂	rr	ag·ag
ah[dry]V/i	ah₃-ah₃	RR	ah·ah
ah[dry]V/i	ha-ha	rr	ha·ha
ak[do]V/t	ak-ak	RR	ak·ak
ak[do]V/t	ke₄-ke₄	rr	ke·ke
ak[do]V/t	ak-ak	RR	ak·ak
ara[grind]V/t	ara₃-ara₃	RR	ara·ara
ara[grind]V/t	ara₃-ara₃	RR	ara·ara
ara[grind]V/t	ar₃-ar₃-ar₃-ar₃	rrrr	ar·ar·ar·ar
ba[allot]V/t	ba-ba	RR	ba·ba
babbar[white]V/i	ba-ba	rr	ba·ba
babbar[white]V/i	bi-bi	rr	bi·bi
bad[open]V/t	ba-ba	rr	ba·ba
bad[open]V/t	bad-bad	RR	bad·bad
bad[open]V/t	bad₅-bad₅	RR	bad·bad
bad[open]V/t	ba-ba	rr	ba·ba
bal[dig]V/t	ba-al-ba-al	R′R′	ba°al·ba°al
bal[dig]V/t	bal-bal	RR	bal·bal
bala[turn]V/t	bala-bala	RR	bala·bala
bar[burn]V/t	bar₇-bar₇	RR	bar·bar
bar[cvve]V/t	ba-ba	rr	ba·ba
bar[cvve]V/t	bar-bar	RR	bar·bar
barag[spread]V/t	barag₂-barag₂	RR	barag·barag
be[diminish]V/t	be₄-be₄	RR	be·be
be[diminish]V/t	be₄-be₄	RR	be·be
be[diminish]V/t	bi₃-bi₃	rr	bi·bi
bed[defecate]V/t	bed₃-bed₃	RR	bed·bed
bil[burn]V/t	bil-bil	RR	bil·bil
bil[burn]V/t	bil-bil	RR	bil·bil
bil[burn]V/t	bil₂-bil₂	RR	bil·bil
bir[scatter]V/t	HI-HI	rr	HI·HI
bir[scatter]V/t	bir-bir	RR	bir·bir
bir[scatter]V/t	bir-bir	RR	bir·bir
bir[shred]V/t	bir₇-bir₇	RR	bir·bir
bir[shred]V/t	bir₉-bir₉	RR	bir·bir
bir[shred]V/t	bir₉-bir₉	RR	bir·bir
biz[trickle]V/t	bi-iz-bi-iz	R′R′	bi°iz·bi°iz
biz[trickle]V/t	biz-biz	RR	biz·biz
biz[trickle]V/t	biz-biz-biz	RRR	biz·biz·biz
bu[flit]V/i	bu₂-bu₂	RR	bu·bu
bu[flit]V/i	bu₅-bu₅	RR	bu·bu
bu[howl]V/i	SUD-SUD	rr	SUD·SUD
bu[howl]V/i	bu-bu	RR	bu·bu
bu[howl]V/i	bu-bu-bu	RRR	bu·bu·bu
bu[howl]V/i	bu₂-bu₂	RR	bu·bu
bu[howl]V/i	bu₅-bu₅	RR	bu·bu
bu[howl]V/i	wu-wu	rr	wu·wu
bu[howl]V/i	wu-wu-wu	rrr	wu·wu·wu
bul[blow]V/t	bul-bul	RR	bul·bul
bul[blow]V/t	bul-bul	RR	bul·bul
bul[blow]V/t	bul₅-bul₅	RR	bul·bul
bul[blow]V/t	bu₄-bu₄	rr	bu·bu
bul[shake]V/t	bul-bul	RR	bul·bul
buluŋ[grow]V/t	buluŋ₃-buluŋ₃	RR	buluŋ·buluŋ
buluh[fear]V/t	bu-luh-bu-luh	R′R′	bu°luh·bu°luh
bur[compensate?]V/t	bur₂-bur₂	RR	bur·bur
bur[glow]V/i	bu-bu₇	rr	bu·bu
bur[glow]V/i	bur₂-bur₂	RR	bur·bur
bur[spread]V/t	bur₂-bur₂	RR	bur·bur
bur[tear]V/t	bur₁₂-bur₁₂	RR	bur·bur
bur[tear]V/t	bur₁₂-bur₁₂-bur₁₂	RRR	bur·bur·bur
bur[tear]V/t	bu₃-bu₃	rr	bu·bu
burbur[unmng]V/i	bur₁₀-bur₁₀	rr	bur·bur
burud[perforate]V/t	bir-bir	rr	bir·bir
burud[perforate]V/t	burudₓ(U)-burudₓ(U)	RR	burud·burud
burud[perforate]V/t	burudₓ(U)-burudₓ(U)	RR	burud·burud
dab[seize]V/t	dab-dab	RR	dab·dab
dab[seize]V/t	dab₅-dab₅	RR	dab·dab
dada[hostile]V/i	da-da	rr	da·da
dada[hostile]V/i	da₃-da₃	rr	da·da
dada[hostile]V/i	da₃-da₃	rr	da·da
dadag[bright]V/i	da-da	rr	da·da
dadag[bright]V/i	dadagₓ(UD)-dadagₓ(UD)	RR	dadag·dadag
dadara[tied]V/i	dar-dar	rr	dar·dar
dag[demolish]V/t	dag-dag	RR	dag·dag
dag[roam around]V/i	dag-dag	RR	dag·dag
daŋal[wide]V/i	daŋal-daŋal	RR	daŋal·daŋal
dal[fly]V/i	dal-dal	RR	dal·dal
